Iteration,CPU(%),MEM(%),Disk Read(MB/s),Disk Write(MB/s)
1,0,0.9,0,0
2,17.18,0.9,0,0
3,17.60,0.9,0,0
4,17.50,0.9,0,0
5,17.07,0.9,0,0
6,17.39,0.9,0,0
7,17.29,0.9,0,1.91
8,17.60,0.9,0,1.85
9,16.98,0.9,0,2.15
10,17.18,0.9,0,1.86
11,17.07,0.9,0,1.86
12,17.29,0.9,0,2.19
13,17.07,0.9,0,1.91
14,17.18,0.9,0,1.86
15,16.98,0.9,0,2.13
16,16.98,0.9,0,1.87
17,17.18,0.9,0,1.90
18,17.07,0.9,0,1.78
19,17.18,0.9,0,2.17
20,17.29,0.9,0,2.10
21,17.07,0.9,0,1.85
22,16.10,0.9,0,1.90
23,17.18,0.9,0,1.91
24,17.29,0.9,0,1.90
25,17.18,0.9,0,2.12
26,17.18,0.9,0,2.06
27,17.07,0.9,0,1.88
28,17.18,0.9,0,2.12
29,17.07,0.9,0,1.86
30,17.07,0.9,0,2.14
31,16.31,0.9,0,2.15
32,17.07,0.9,0,1.88
33,16.98,0.9,0,1.71
34,17.07,0.9,0,2.16
35,16.10,0.9,0,1.86
36,17.18,0.9,0,1.91
37,17.07,0.9,0,1.88
38,16.21,0.9,0,1.88
39,17.07,0.9,0,2.15
40,16.98,0.9,0,1.91
41,17.07,0.9,0,0
42,17.18,0.9,0,0
43,17.07,0.9,0,0
44,17.18,0.9,0,0
45,17.18,0.9,0,0
46,17.18,0.9,0,0
47,15.81,0.9,0,0
48,17.07,0.9,0,0
49,17.07,0.9,0,0
50,17.18,0.9,0,0
51,17.18,0.9,0,0
52,17.18,0.9,0,0
53,17.18,0.9,0,0
