run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
144,20,0,0,DELIVERY,0,0,0
144,20,1,1,DELIVERY,0,0,0
144,20,2,2,DELIVERY,0,0,0
144,25,0,0,DELIVERY,0,0,0
144,27,0,0,DELIVERY,0,0,0
144,33,0,0,DELIVERY,0,0,0
144,38,0,0,DELIVERY,0,0,0
144,32,0,0,DELIVERY,0,0,0
144,41,0,0,DELIVERY,0,0,0
144,36,0,0,DELIVERY,0,0,0
144,126,84,84,PAYMENT,0,0,0
144,133,102,102,PAYMENT,0,0,0
144,133,105,105,PAYMENT,0,0,0
144,133,114,114,PAYMENT,0,0,0
144,133,98,98,PAYMENT,0,0,0
144,133,113,113,PAYMENT,0,0,0
144,133,111,111,PAYMENT,0,0,0
144,140,109,109,PAYMENT,0,0,0
144,133,112,112,PAYMENT,0,0,0
144,133,98,98,PAYMENT,0,0,0
144,140,118,118,NEW_ORDER,0,0,0
144,133,113,113,PAYMENT,0,0,0
144,183,151,151,PAYMENT,0,0,0
144,183,164,164,PAYMENT,0,0,0
144,183,153,153,NEW_ORDER,0,0,0
144,183,151,151,PAYMENT,0,0,0
144,184,150,150,PAYMENT,0,0,0
144,184,166,166,PAYMENT,0,0,0
144,184,165,165,PAYMENT,0,0,0
144,184,161,161,NEW_ORDER,0,0,0
144,184,164,164,PAYMENT,0,0,0
144,184,0,0,DELIVERY,0,0,0
144,210,188,188,NEW_ORDER,0,0,0
144,222,186,186,NEW_ORDER,0,0,0
144,222,180,180,PAYMENT,0,0,0
144,222,188,188,PAYMENT,0,0,0
144,222,187,187,PAYMENT,0,0,0
144,222,188,188,NEW_ORDER,0,0,0
144,222,202,202,NEW_ORDER,0,0,0
144,222,203,203,NEW_ORDER,0,0,0
144,222,81,81,PAYMENT,0,0,0
144,222,203,203,NEW_ORDER,0,0,0
144,223,190,190,NEW_ORDER,0,0,0
144,223,0,0,DELIVERY,0,0,0
144,237,202,202,NEW_ORDER,0,0,0
144,237,209,209,NEW_ORDER,0,0,0
144,237,218,218,NEW_ORDER,0,0,0
144,237,218,218,PAYMENT,0,0,0
144,239,200,200,PAYMENT,0,0,0
144,239,201,201,NEW_ORDER,0,0,0
144,239,207,207,NEW_ORDER,0,0,0
144,239,220,220,PAYMENT,0,0,0
144,239,220,220,PAYMENT,0,0,0
144,239,205,205,NEW_ORDER,0,0,0
144,239,206,206,PAYMENT,0,0,0
144,240,212,212,PAYMENT,0,0,0
144,240,220,220,PAYMENT,0,0,0
144,240,221,221,PAYMENT,0,0,0
144,240,220,220,NEW_ORDER,0,0,0
144,240,198,198,NEW_ORDER,0,0,0
144,240,214,214,NEW_ORDER,0,0,0
144,240,0,0,DELIVERY,0,0,0
144,240,0,0,DELIVERY,0,0,0
144,242,209,209,NEW_ORDER,0,0,0
144,243,212,212,NEW_ORDER,0,0,0
144,249,216,216,NEW_ORDER,0,0,0
144,266,230,230,NEW_ORDER,0,0,0
144,266,241,241,NEW_ORDER,0,0,0
144,266,231,231,NEW_ORDER,0,0,0
144,266,224,224,NEW_ORDER,0,0,0
144,266,125,125,PAYMENT,0,0,0
144,266,238,238,NEW_ORDER,0,0,0
144,266,235,235,PAYMENT,0,0,0
144,266,247,247,NEW_ORDER,0,0,0
144,266,125,125,PAYMENT,0,0,0
144,266,247,247,NEW_ORDER,0,0,0
144,266,125,125,PAYMENT,0,0,0
144,266,246,246,NEW_ORDER,0,0,0
144,266,233,233,NEW_ORDER,0,0,0
144,267,0,0,DELIVERY,0,0,0
144,267,246,246,NEW_ORDER,0,0,0
144,267,247,247,NEW_ORDER,0,0,0
144,267,248,248,PAYMENT,0,0,0
144,268,236,236,NEW_ORDER,0,0,0
144,268,45,45,PAYMENT,0,0,0
144,268,128,128,NEW_ORDER,1,0,0
144,276,253,253,PAYMENT,0,0,0
144,276,136,136,PAYMENT,0,0,0
144,292,250,250,PAYMENT,0,0,0
144,292,52,52,PAYMENT,0,0,0
144,292,108,108,PAYMENT,0,0,0
144,293,0,0,DELIVERY,0,0,0
144,301,281,281,PAYMENT,0,0,0
144,301,267,267,NEW_ORDER,0,0,0
144,301,78,78,PAYMENT,0,0,0
144,301,276,276,NEW_ORDER,0,0,0
144,301,261,261,NEW_ORDER,0,0,0
144,301,263,263,DELIVERY_BG,0,0,0
144,301,261,261,NEW_ORDER,0,0,0
144,301,0,0,DELIVERY,0,0,0
144,307,180,180,NEW_ORDER,0,0,0
144,307,285,285,NEW_ORDER,0,0,0
144,307,269,269,PAYMENT,0,0,0
144,307,282,282,NEW_ORDER,0,0,0
144,308,167,167,NEW_ORDER,0,0,0
144,339,298,298,PAYMENT,0,0,0
144,339,99,99,PAYMENT,0,0,0
144,339,198,198,NEW_ORDER,0,0,0
144,360,93,93,NEW_ORDER,0,0,0
144,360,120,120,PAYMENT,0,0,0
144,360,341,341,NEW_ORDER,0,0,0
144,360,333,333,PAYMENT,0,0,0
144,360,149,149,NEW_ORDER,0,0,0
144,360,177,177,NEW_ORDER,0,0,0
144,360,219,219,PAYMENT,0,0,0
144,360,93,93,PAYMENT,0,0,0
144,360,176,176,PAYMENT,0,0,0
144,360,122,122,NEW_ORDER,0,0,0
144,360,0,0,DELIVERY,0,0,0
144,364,115,115,PAYMENT,0,0,0
144,364,124,123,DELIVERY_BG,0,0,0
144,364,322,322,PAYMENT,0,0,0
144,364,321,321,PAYMENT,0,0,0
144,364,124,124,NEW_ORDER,0,0,0
144,376,109,109,NEW_ORDER,0,0,0
144,376,356,356,NEW_ORDER,0,0,0
144,376,346,346,NEW_ORDER,0,0,0
144,376,358,358,PAYMENT,0,0,0
144,376,337,337,PAYMENT,0,0,0
144,376,109,109,NEW_ORDER,0,0,0
144,376,136,136,NEW_ORDER,0,0,0
144,376,354,354,NEW_ORDER,0,0,0
144,376,356,356,NEW_ORDER,0,0,0
144,380,157,157,PAYMENT,0,0,0
144,386,367,367,PAYMENT,0,0,0
144,386,85,85,PAYMENT,0,0,0
144,387,147,147,ORDER_STATUS,0,0,0
144,387,164,164,NEW_ORDER,0,0,0
144,387,203,203,NEW_ORDER,0,0,0
144,387,147,147,NEW_ORDER,0,0,0
144,397,366,366,NEW_ORDER,0,0,0
144,397,378,378,NEW_ORDER,0,0,0
144,397,157,157,PAYMENT,0,0,0
144,397,174,174,NEW_ORDER,0,0,0
144,411,143,143,STOCK_LEVEL,0,0,0
144,412,48,48,PAYMENT,0,0,0
144,412,143,143,NEW_ORDER,0,0,0
144,412,371,371,PAYMENT,0,0,0
144,412,36,36,PAYMENT,0,0,0
144,412,136,136,PAYMENT,0,0,0
144,412,119,119,PAYMENT,0,0,0
144,416,233,233,PAYMENT,0,0,0
144,416,115,115,PAYMENT,0,0,0
144,416,149,149,NEW_ORDER,0,0,0
144,416,379,379,PAYMENT,0,0,0
144,416,384,384,NEW_ORDER,0,0,0
144,416,149,149,PAYMENT,0,0,0
144,416,275,275,NEW_ORDER,0,0,0
144,416,379,379,NEW_ORDER,0,0,0
144,416,376,376,NEW_ORDER,0,0,0
144,417,0,0,DELIVERY,0,0,0
144,433,165,165,PAYMENT,0,0,0
144,444,410,410,PAYMENT,0,0,0
144,444,84,84,PAYMENT,0,0,0
144,444,177,177,NEW_ORDER,0,0,0
144,444,221,221,NEW_ORDER,0,0,0
144,444,0,0,DELIVERY,0,0,0
144,445,205,205,PAYMENT,0,0,0
144,445,144,144,PAYMENT,0,0,0
144,445,222,222,NEW_ORDER,0,0,0
144,445,178,178,NEW_ORDER,0,0,0
144,445,138,138,PAYMENT,0,0,0
144,445,178,178,PAYMENT,0,0,0
144,445,207,207,NEW_ORDER,0,0,0
144,445,418,417,DELIVERY_BG,0,0,0
144,449,265,265,PAYMENT,0,0,0
144,457,69,69,PAYMENT,0,0,0
144,457,97,97,PAYMENT,0,0,0
144,460,84,84,ORDER_STATUS,0,0,0
144,465,422,422,PAYMENT,0,0,0
144,465,224,224,PAYMENT,0,0,0
144,465,89,89,PAYMENT,0,0,0
144,465,105,105,PAYMENT,0,0,0
144,465,125,125,NEW_ORDER,0,0,0
144,465,434,434,PAYMENT,0,0,0
144,465,242,242,NEW_ORDER,0,0,0
144,465,424,424,NEW_ORDER,0,0,0
144,465,426,426,NEW_ORDER,0,0,0
144,465,431,431,NEW_ORDER,0,0,0
144,465,198,198,NEW_ORDER,0,0,0
144,465,429,429,PAYMENT,0,0,0
144,465,427,427,NEW_ORDER,0,0,0
144,465,424,424,NEW_ORDER,0,0,0
144,468,175,175,PAYMENT,0,0,0
144,501,88,88,PAYMENT,0,0,0
144,500,136,136,PAYMENT,0,0,0
144,501,124,124,NEW_ORDER,0,0,0
144,503,126,126,PAYMENT,0,0,0
144,503,471,471,PAYMENT,0,0,0
144,503,123,123,PAYMENT,0,0,0
144,503,58,58,PAYMENT,0,0,0
144,503,58,58,PAYMENT,0,0,0
144,503,117,117,NEW_ORDER,0,0,0
144,503,58,58,PAYMENT,0,0,0
144,503,143,143,NEW_ORDER,0,0,0
144,503,195,195,NEW_ORDER,0,0,0
144,503,127,127,NEW_ORDER,0,0,0
144,503,38,38,PAYMENT,0,0,0
144,503,143,143,NEW_ORDER,0,0,0
144,503,483,483,NEW_ORDER,0,0,0
144,503,87,87,PAYMENT,0,0,0
144,503,143,143,NEW_ORDER,0,0,0
144,503,362,362,PAYMENT,0,0,0
144,503,37,37,PAYMENT,0,0,0
144,503,127,127,NEW_ORDER,0,0,0
144,503,0,0,DELIVERY,0,0,0
144,521,157,157,PAYMENT,0,0,0
144,529,113,113,NEW_ORDER,0,0,0
144,529,142,142,NEW_ORDER,0,0,0
144,529,28,28,PAYMENT,0,0,0
144,529,505,505,NEW_ORDER,0,0,0
144,529,113,113,NEW_ORDER,0,0,0
144,529,189,189,NEW_ORDER,0,0,0
144,529,228,228,NEW_ORDER,0,0,0
144,529,63,63,PAYMENT,0,0,0
144,529,261,261,PAYMENT,0,0,0
144,529,113,113,NEW_ORDER,0,0,0
144,531,167,167,NEW_ORDER,0,0,0
144,531,264,264,NEW_ORDER,0,0,0
144,531,501,501,PAYMENT,0,0,0
144,533,117,117,PAYMENT,0,0,0
144,533,0,0,DELIVERY,0,0,0
144,547,44,44,PAYMENT,0,0,0
144,559,114,114,PAYMENT,0,0,0
144,559,114,114,PAYMENT,0,0,0
144,559,292,292,NEW_ORDER,0,0,0
144,559,102,102,PAYMENT,0,0,0
144,559,199,199,PAYMENT,0,0,0
144,559,146,146,NEW_ORDER,0,0,0
144,559,146,146,NEW_ORDER,0,0,0
144,559,56,56,PAYMENT,0,0,0
144,559,161,161,NEW_ORDER,0,0,0
144,559,283,283,NEW_ORDER,0,0,0
144,559,0,0,DELIVERY,0,0,0
144,562,145,145,NEW_ORDER,0,0,0
144,562,118,117,DELIVERY_BG,0,0,0
144,562,105,105,PAYMENT,0,0,0
144,562,255,255,NEW_ORDER,0,0,0
144,581,78,78,PAYMENT,0,0,0
144,581,337,337,PAYMENT,0,0,0
144,586,142,142,NEW_ORDER,0,0,0
144,586,120,120,NEW_ORDER,0,0,0
144,586,188,188,NEW_ORDER,0,0,0
144,586,544,544,PAYMENT,0,0,0
144,586,55,55,PAYMENT,0,0,0
144,586,118,118,PAYMENT,0,0,0
144,586,170,170,NEW_ORDER,0,0,0
144,586,141,141,NEW_ORDER,0,0,0
144,586,83,83,PAYMENT,0,0,0
144,586,83,83,PAYMENT,0,0,0
144,586,121,121,PAYMENT,0,0,0
