Iteration,User CPU Usage (%),System CPU Usage (%),I/O waite CPU Usage (%),Memory Usage (%),Disk Read Speed (MB/s),Disk Write Speed (MB/s)
1,11.6,0.5,0.9,15.43,41.67,0.00
2,11.5,0.2,1.6,15.43,52.07,0.00
3,9.7,0.2,1.9,15.43,27.75,0.00
4,11.4,0.2,1.4,15.43,38.20,0.12
5,13.3,0.5,0.8,15.45,47.44,0.00
6,11.1,0.1,1.1,15.43,37.20,0.00
7,9.6,0.3,0.6,15.43,27.71,0.00
8,9.2,0.3,0.2,15.43,1.47,0.00
9,9.6,0.1,0.2,15.43,47.40,0.75
10,9.6,0.3,1.5,15.43,17.45,0.00
11,9.7,0.2,0.3,15.44,46.84,0.52
12,9.1,0.3,1.5,15.44,27.86,0.00
13,8.9,0.3,1.6,15.44,24.68,0.05
14,10.5,0.3,3.3,15.44,79.24,0.00
15,8.5,0.3,4.9,15.44,66.59,0.82
16,8.7,0.3,1.5,15.44,28.17,0.00
17,8.4,0.4,1.6,15.44,29.03,0.00
18,8.2,0.3,1.5,15.44,24.55,0.25
19,8.5,0.3,1.1,15.44,2.77,0.00
20,9.4,0.3,0.0,15.44,3.87,0.00
21,9.4,0.2,0.3,15.44,0.08,0.00
22,10.0,0.2,0.0,15.44,0.02,0.00
23,8.1,0.3,1.3,15.44,13.09,1.69
24,8.9,0.2,0.4,15.44,2.30,0.34
25,9.6,0.3,0.1,15.45,3.39,0.00
26,9.2,0.2,0.3,15.43,3.16,0.00
27,9.2,0.2,0.4,15.44,2.56,0.00
28,9.9,0.2,0.0,15.44,0.16,0.00
29,10.4,0.3,0.0,15.44,0.00,0.12
30,11.6,0.3,0.0,15.45,0.00,0.00
31,9.3,0.3,0.0,15.44,0.00,0.00
32,9.8,0.3,0.9,15.45,0.27,0.96
33,9.8,0.3,0.0,15.44,0.00,0.00
34,8.7,0.3,0.4,15.45,0.92,0.91
35,9.5,0.4,0.0,15.49,0.01,0.00
36,9.6,0.3,0.0,15.49,0.02,0.54
37,9.8,0.3,0.0,15.49,0.00,0.00
38,10.3,0.2,0.0,15.50,0.00,0.03
39,11.5,0.2,0.0,15.76,0.00,0.00
40,9.4,0.2,0.0,15.94,0.00,0.00
41,9.3,0.3,0.0,15.44,0.00,0.00
42,9.5,0.2,0.0,15.44,0.02,0.00
43,9.9,0.2,0.0,15.59,0.00,0.04
44,9.3,0.3,0.0,15.44,0.04,0.00
45,9.7,0.2,0.0,15.44,0.01,0.00
